literka;Duże linie ukośne (w prawo);Małe linie ukośne (w prawo);Duże linie ukośne (w lewo);Małe linie ukośne (w lewo);Linie poziome;Duże linie pionowe;Małe linie pionowe;Ogonek;Kreska;Kropka;Duże łuki;Małe łuki;Okręgi;Pozycja okręgu;Przecięcia
A;1;0;1;0;1;0;0;0;0;0;0;0;0;0;2
a;0;0;0;0;0;0;1;0;0;0;0;1;1;3;1
Ą;1;0;1;0;1;0;0;1;0;0;0;0;0;0;2
ą;0;0;0;0;0;0;1;1;0;0;0;1;1;3;1
B;0;0;0;0;3;1;0;0;0;0;0;2;0;0;2
b;0;0;0;0;0;1;0;0;0;0;0;0;1;4;1
C;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
c;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Ć;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
ć;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0
D;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0
d;0;0;0;0;0;1;0;0;0;0;0;0;1;3;1
E;0;0;0;0;3;1;0;0;0;0;0;0;0;0;1
e;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1
Ę;0;0;0;0;3;1;0;1;0;0;0;0;0;0;1
ę;0;0;0;0;1;0;0;1;0;0;0;1;0;0;1
F;0;0;0;0;2;1;0;0;0;0;0;0;0;0;1
f;0;0;0;0;1;1;0;0;0;0;0;1;0;0;1
G;0;0;0;0;1;0;1;0;0;0;1;0;0;0;1
g;0;0;0;0;0;0;0;0;0;0;0;1;2;1;2
H;0;0;0;0;1;2;0;0;0;0;0;0;0;0;2
h;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1
I;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
i;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
J;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0
j;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0
K;0;1;0;1;0;1;0;0;0;0;0;0;0;0;1
k;0;1;0;1;0;1;0;0;0;0;0;0;0;0;1
L;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
l;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Ł;0;1;0;0;1;1;0;0;0;0;0;0;0;0;1
ł;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1
M;1;0;1;0;0;2;0;0;0;0;0;0;0;0;0
m;0;0;0;0;0;0;3;0;0;0;0;2;0;0;2
N;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0
n;0;0;0;0;0;0;2;0;0;0;0;1;0;0;1
Ń;0;0;1;0;0;2;0;0;1;0;0;0;0;0;0
ń;0;0;0;0;0;0;2;0;1;0;0;1;0;0;1
O;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
o;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
Ó;0;0;0;0;0;0;0;0;1;0;0;0;1;3;0
ó;0;0;0;0;0;0;0;0;1;0;0;0;1;3;0
P;0;0;0;0;2;1;0;0;0;0;0;1;0;0;1
p;0;0;0;0;0;1;0;0;0;0;0;0;1;2;1
Q;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1
q;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1
R;0;0;0;1;0;1;0;0;0;0;0;1;0;0;1
r;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
S;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0
s;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0
Ś;0;0;0;1;0;0;0;0;1;0;0;2;0;0;0
ś;0;0;0;1;0;0;0;0;1;0;0;2;0;0;0
T;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1
t;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1
U;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0
u;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0
V;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
v;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
W;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0
w;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0
X;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1
x;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1
Y;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1
y;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1
Z;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0
z;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0
Ź;1;0;0;0;2;0;0;0;1;0;0;0;0;0;0
ź;0;1;0;0;2;0;0;0;1;0;0;0;0;0;0
Ż;1;0;0;0;2;0;0;0;0;1;0;0;0;0;0
Ż;0;1;0;0;2;0;0;0;0;1;0;0;0;0;0
A;1;0;1;0;3;0;0;0;0;0;0;0;0;0;4
a;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0
Ą;1;0;1;0;3;0;0;1;0;0;0;0;0;0;4
ą;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0
B;0;0;0;0;3;1;0;0;0;0;0;2;0;0;3
b;0;0;0;0;0;1;0;0;0;0;0;0;1;4;0
C;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
c;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Ć;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
ć;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0
D;0;0;0;0;2;1;0;0;0;0;1;0;0;0;2
d;0;0;0;0;0;1;0;0;0;0;0;0;1;3;0
E;0;0;0;0;3;1;0;0;0;0;0;0;0;0;3
e;0;0;0;0;0;0;0;0;0;0;0;1;1;2;1
Ę;0;0;0;0;3;1;0;1;0;0;0;0;0;0;4
ę;0;0;0;0;0;0;0;1;0;0;0;1;1;2;2
F;0;0;0;0;3;1;0;0;0;0;0;0;0;0;3
f;0;0;0;0;1;1;0;0;0;0;0;2;0;0;1
G;0;0;0;0;1;0;1;0;0;0;1;0;0;0;1
g;0;0;0;0;0;0;0;0;0;0;0;1;2;0;2
H;0;0;0;0;5;2;0;0;0;0;0;0;0;0;6
h;0;1;0;0;0;1;1;0;0;0;0;0;0;0;1
I;0;0;0;0;2;1;0;0;0;0;0;0;0;0;2
i;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
J;0;0;0;0;1;1;0;0;0;0;0;1;0;0;1
j;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0
K;0;1;0;1;2;1;0;0;0;0;0;0;0;0;3
k;0;1;0;1;0;1;0;0;0;0;0;0;0;0;2
L;0;0;0;0;2;1;0;0;0;0;0;0;0;0;2
l;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Ł;0;1;0;0;2;1;0;0;0;0;0;0;0;0;3
ł;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1
M;2;0;1;0;4;1;0;0;0;0;0;0;0;0;4
m;0;2;0;0;0;3;0;0;0;0;0;0;0;0;2
N;0;0;1;0;3;2;0;0;0;0;0;0;0;0;3
n;0;1;0;0;0;0;2;0;0;0;0;0;0;0;1
Ń;0;0;1;0;3;2;0;0;1;0;0;0;0;0;3
ń;0;1;0;0;0;0;2;0;1;0;0;0;0;0;1
O;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
o;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
Ó;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0
ó;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0
P;0;0;0;0;3;1;0;0;0;0;0;1;0;0;3
p;0;0;0;0;0;1;0;0;0;0;0;0;1;2;0
R;0;0;0;1;3;0;0;0;0;0;0;1;0;0;3
r;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1
S;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
s;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Ś;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0
ś;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0
T;0;0;0;0;2;1;2;0;0;0;0;0;0;0;2
t;0;0;0;0;1;1;0;0;0;0;0;1;0;0;1
U;0;0;0;0;3;2;0;0;0;0;1;0;0;0;3
u;0;1;0;0;0;0;2;0;0;0;0;0;0;0;1
W;2;0;1;0;2;1;0;0;0;0;0;0;0;0;2
w;0;0;0;0;1;0;1;0;0;0;0;2;0;0;1
Y;0;0;0;0;1;0;0;0;0;0;2;0;0;0;2
y;0;1;0;0;0;1;1;0;0;0;0;1;0;0;1
Z;1;0;0;0;2;0;2;0;0;0;0;0;0;0;0
z;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0
Ź;1;0;0;0;2;0;2;0;1;0;0;0;0;0;0
ź;0;1;0;0;2;0;0;0;1;0;0;0;0;0;0
Ż;1;0;0;0;2;0;2;0;0;1;0;0;0;0;0
Ż;0;1;0;0;2;0;0;0;0;1;0;0;0;0;0
